date,video,video_title,average_percentage_viewed
2019-07-14,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,24.1441
2019-07-15,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,23.205
2019-07-16,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,23.5645
2019-07-17,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,24.0512
2019-07-18,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.9089
2019-07-19,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.3411
2019-07-20,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,23.333
2019-07-21,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,23.0303
2019-07-22,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.05
2019-07-23,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.1835
2019-07-24,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.0883
2019-07-25,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.0406
2019-07-26,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,20.2484
2019-07-27,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.6458
2019-07-28,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.2852
2019-07-29,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.8379
2019-07-30,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.2687
2019-07-31,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.5883
2019-08-01,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.5734
2019-08-02,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,20.0236
2019-08-03,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.5032
2019-08-04,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,22.4839
2019-08-05,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,20.2382
2019-08-06,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,19.7039
2019-08-07,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,19.8923
2019-08-08,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,19.8849
2019-08-09,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,18.2668
2019-08-10,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,20.0371
2019-08-11,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.0592
2019-08-12,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,20.7944
2019-08-13,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,20.2068
2019-08-14,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.028
2019-08-15,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,19.896
2019-08-16,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,19.9742
2019-08-17,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,18.9172
2019-08-18,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,19.3489
2019-08-19,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,17.6911
2019-08-20,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,20.5135
2019-08-21,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,18.6785
2019-08-22,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,21.0751
2019-08-23,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,19.0903
2019-08-24,stXhGMVJuqA,The Mind After Midnight: Where Do You Go When You Go to Sleep?,18.7953
