date,video,video_title,views
2019-07-23,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1620
2019-07-24,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1471
2019-07-25,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1201
2019-07-26,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1345
2019-07-27,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1442
2019-07-28,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1469
2019-07-29,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1351
2019-07-30,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1482
2019-07-31,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1553
2019-08-01,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1567
2019-08-02,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1437
2019-08-03,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1456
2019-08-04,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1675
2019-08-05,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1594
2019-08-06,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1641
2019-08-07,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1518
2019-08-08,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1298
2019-08-09,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,991
2019-08-10,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1192
2019-08-11,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1370
2019-08-12,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1302
2019-08-13,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1152
2019-08-14,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1184
2019-08-15,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1006
2019-08-16,qMMgsjnI1is,The Matter Of Antimatter: Answering The Cosmic Riddle Of Existence,1054
